t,u(t),y(t)
4.00,0.066482,0.056796
5.00,-0.024396,-0.033971
6.00,-1.251703,-0.003910
7.00,-1.447209,-0.599768
8.00,-0.619261,-0.491639
9.00,-0.035084,-0.114230
10.00,0.451098,0.066478
11.00,0.782184,0.203339
12.00,0.375922,0.326016
13.00,-0.082921,0.038924
14.00,-1.641502,-0.080517
15.00,-0.607162,-0.768926
16.00,0.389409,-0.015037
17.00,-0.499928,0.232128
18.00,-1.100117,-0.295198
19.00,-2.335450,-0.419318
20.00,-0.150853,-0.950093
21.00,1.062442,0.258818
22.00,0.083594,0.489794
23.00,-0.164422,-0.123183
24.00,-1.977275,-0.054888
25.00,-0.075885,-0.939544
26.00,-1.635482,0.275248
27.00,0.792938,-0.828691
28.00,0.073126,0.658493
29.00,0.062052,-0.135464
30.00,0.696278,0.049301
31.00,0.056500,0.303320
32.00,0.687323,-0.105612
33.00,1.717175,0.356841
34.00,0.460415,0.735752
35.00,-1.972903,-0.016531
36.00,0.784010,-0.986286
37.00,1.103125,0.693163
38.00,0.634540,0.356456
39.00,-0.418091,0.177098
40.00,0.956259,-0.300166
41.00,0.425092,0.554627
42.00,-0.457220,0.040776
43.00,-0.547854,-0.275601
44.00,1.598250,-0.167302
45.00,-1.428039,0.842991
46.00,-1.704283,-0.933166
47.00,-0.140555,-0.551858
48.00,1.014148,0.172809
49.00,0.067814,0.477582
50.00,-0.453910,-0.118270
51.00,2.024098,-0.213187
52.00,0.230054,1.057435
53.00,0.283078,-0.219402
54.00,-0.798350,0.162127
55.00,-0.573592,-0.439650
56.00,0.538626,-0.160110
57.00,0.697438,0.340679
58.00,-0.689709,0.234300
59.00,-0.282708,-0.424409
60.00,0.384873,-0.034323
61.00,-1.011418,0.205333
62.00,1.540214,-0.544510
63.00,0.512645,0.897500
64.00,-1.451021,-0.029078
65.00,-0.516601,-0.764957
66.00,0.280830,0.001133
67.00,1.248210,0.189860
68.00,-1.497060,0.552035
69.00,0.636194,-0.891935
70.00,-0.790277,0.566116
71.00,0.334924,-0.512858
72.00,0.371085,0.276010
73.00,0.530721,0.098389
74.00,-0.146775,0.222260
75.00,0.074299,-0.138413
76.00,0.825852,0.081445
77.00,-0.439094,0.385376
78.00,0.607202,-0.342087
79.00,1.677012,0.366582
80.00,-0.665378,0.669670
81.00,-1.107625,-0.550863
82.00,2.143581,-0.417922
83.00,0.335769,1.191227
84.00,0.255443,-0.198621
85.00,-0.592093,0.104923
86.00,1.437469,-0.321191
87.00,-0.412133,0.766125
88.00,0.553311,-0.430434
89.00,1.057448,0.353899
90.00,1.680923,0.412091
91.00,0.353859,0.671964
92.00,0.180184,-0.075120
93.00,-0.790983,0.029789
94.00,-2.317022,-0.423877
95.00,-0.643270,-0.974471
96.00,0.426405,0.053100
97.00,-0.334814,0.258863
98.00,-0.824206,-0.250446
99.00,1.374736,-0.343991
100.00,-0.258706,0.789063
101.00,-0.304440,-0.375231
102.00,1.839995,-0.072323
103.00,-0.578796,0.926551
104.00,1.245595,-0.555918
105.00,1.479679,0.719426
106.00,1.131351,0.486371
107.00,-0.284147,0.339557
108.00,0.455253,-0.287629
109.00,-1.125678,0.299619
110.00,-0.326431,-0.642855
111.00,1.034970,0.015929
112.00,0.558818,0.490407
113.00,-0.213741,0.099276
114.00,0.152861,-0.185328
115.00,0.262628,0.137309
116.00,-1.962955,0.058196
117.00,0.174938,-0.992068
118.00,-0.714600,0.387500
119.00,1.519219,-0.401146
120.00,0.247930,0.835330
121.00,-0.170747,-0.124714
122.00,1.354402,-0.088877
123.00,-0.279233,0.679032
124.00,0.440216,-0.359622
125.00,-0.847798,0.284855
126.00,2.153502,-0.492133
127.00,-1.603039,1.158096
128.00,-1.191351,-1.130215
129.00,-0.023036,-0.280688
130.00,0.359477,0.136513
131.00,0.286047,0.146742
132.00,1.975354,0.078715
133.00,1.078704,0.918129
134.00,-1.094605,0.243748
135.00,0.448023,-0.652407
136.00,-0.245984,0.388062
137.00,0.673271,-0.209660
138.00,-0.209408,0.378136
139.00,0.786053,-0.203428
140.00,-0.046005,0.417372
141.00,1.143353,-0.139539
142.00,0.511202,0.583839
143.00,0.817278,0.081522
144.00,0.092678,0.332454
145.00,1.555845,-0.064353
146.00,-0.307474,0.729300
147.00,-1.382319,-0.403396
148.00,1.058508,-0.575738
149.00,0.188508,0.693104
150.00,-0.030115,-0.097846
151.00,0.702847,-0.029756
152.00,-0.885189,0.328512
153.00,-0.189995,-0.491323
154.00,-0.666960,0.063231
155.00,0.507819,-0.308714
156.00,-0.495623,0.347969
157.00,-0.074396,-0.328402
158.00,-1.851545,0.053617
159.00,-0.117728,-0.872184
160.00,1.238760,0.225816
161.00,1.206446,0.571092
162.00,-0.097211,0.379474
163.00,-0.762238,-0.199156
164.00,0.480885,-0.313601
165.00,0.006224,0.333267
166.00,-0.029462,-0.109003
167.00,0.744969,0.018718
168.00,-1.043306,0.352742
169.00,0.072525,-0.626860
170.00,-0.532717,0.207707
171.00,0.805022,-0.279491
172.00,0.972126,0.457122
173.00,-0.252751,0.319328
174.00,-2.066948,-0.260652
175.00,0.768993,-0.923487
176.00,0.041628,0.683608
177.00,-0.082038,-0.143240
178.00,2.463902,-0.015435
179.00,-0.480160,1.209019
180.00,-0.094783,-0.610314
181.00,-0.475928,0.049783
182.00,0.427284,-0.237136
183.00,0.493599,0.291284
184.00,-1.428043,0.155324
185.00,1.086909,-0.730321
186.00,1.076910,0.746566
187.00,0.157828,0.317284
188.00,-0.342986,-0.089559
189.00,-0.020990,-0.187791
190.00,1.831711,0.040316
191.00,0.324700,0.877695
192.00,0.431082,-0.134871
193.00,-1.205455,0.212210
194.00,-0.646279,-0.661185
195.00,-1.015050,-0.108492
196.00,0.525943,-0.410477
197.00,1.030936,0.407816
198.00,0.382082,0.378752
199.00,0.591126,0.026578
200.00,-0.536865,0.246136
201.00,0.354433,-0.337408
202.00,0.654567,0.278704
203.00,-0.441797,0.225380
204.00,1.665915,-0.305417
205.00,-0.365034,0.884483
206.00,0.312608,-0.448101
207.00,-0.341976,0.267718
208.00,0.030706,-0.229809
209.00,0.213923,0.070655
210.00,-1.249130,0.086984
211.00,0.720081,-0.632339
212.00,-1.317875,0.523551
213.00,2.391665,-0.789990
214.00,0.304531,1.352947
215.00,0.145446,-0.266098
216.00,-1.121982,0.085355
217.00,1.040894,-0.567847
218.00,-0.460358,0.655462
219.00,-1.112490,-0.392650
220.00,1.371738,-0.468454
221.00,-0.385877,0.854391
222.00,-0.596137,-0.419278
223.00,-0.666365,-0.190185
224.00,-0.088859,-0.230809
225.00,-0.848766,0.056222
226.00,-2.175807,-0.426176
227.00,-0.298736,-0.924921
228.00,0.988262,0.185535
229.00,-0.261008,0.485895
230.00,2.497734,-0.272867
231.00,-0.337986,1.252776
232.00,0.879452,-0.577622
233.00,1.134284,0.532115
234.00,-1.055874,0.392703
235.00,-1.940120,-0.659570
236.00,-2.361347,-0.726281
237.00,0.506313,-0.854772
238.00,0.729354,0.567811
239.00,-0.790807,0.233795
240.00,-1.328789,-0.481355
241.00,1.737229,-0.509466
242.00,0.391572,1.018400
243.00,-0.765171,-0.099658
244.00,-0.175180,-0.421060
245.00,-1.458333,0.025772
246.00,-0.416175,-0.655609
247.00,-0.454861,0.000917
248.00,1.902347,-0.175991
249.00,-1.602819,0.976076
250.00,-0.647793,-1.046576
251.00,2.090464,-0.059159
252.00,0.412857,1.085858
253.00,-0.706205,-0.154498
254.00,-0.006354,-0.359498
255.00,-0.544805,0.071623
256.00,-0.528231,-0.272287
257.00,-2.045578,-0.186372
258.00,-0.345439,-0.915221
259.00,-0.058902,0.145517
260.00,-1.221122,-0.012369
261.00,-0.694527,-0.569069
262.00,1.888291,-0.126647
263.00,0.521254,0.976123
264.00,-1.116382,-0.047228
265.00,-0.120453,-0.587436
266.00,-1.706503,0.122777
267.00,-1.724581,-0.802637
268.00,0.191875,-0.543091
269.00,0.561613,0.311326
270.00,0.852066,0.215417
271.00,0.512956,0.302579
272.00,-0.574097,0.131885
273.00,-0.438267,-0.333043
274.00,0.360911,-0.105256
275.00,0.048186,0.235243
276.00,-0.508230,-0.065345
277.00,-0.152012,-0.230677
278.00,-0.664925,0.005040
279.00,0.211504,-0.305699
280.00,-0.615564,0.207072
281.00,-0.382477,-0.341624
282.00,0.759532,-0.118109
283.00,-1.633039,0.420679
284.00,-0.979696,-0.915376
285.00,1.129715,-0.188695
286.00,0.454904,0.667114
287.00,-1.171067,-0.000558
288.00,0.795397,-0.620812
289.00,-0.499632,0.576925
290.00,0.066969,-0.390799
291.00,1.402010,0.142752
292.00,0.142376,0.643607
