t,u(t),y(t)
5.00,-2.279639,-0.110137
6.00,0.524997,-1.047483
7.00,0.454572,-1.805705
8.00,-0.499622,-0.731873
9.00,0.497167,0.307504
10.00,-0.453940,-0.027344
11.00,0.007750,0.037279
12.00,0.512703,-0.018053
13.00,0.047076,-0.154504
14.00,0.704192,0.206526
15.00,-0.263437,0.217040
16.00,0.555548,0.338872
17.00,0.784251,0.164678
18.00,-0.003453,0.160730
19.00,-0.105868,0.540951
20.00,-1.282853,0.319501
21.00,-0.293203,-0.015154
22.00,-0.548041,-0.584808
23.00,-0.298013,-0.624464
24.00,-0.537493,-0.394886
25.00,-2.180969,-0.352185
26.00,-0.862695,-0.365629
27.00,0.524844,-1.146745
28.00,1.172253,-1.226361
29.00,-0.020489,-0.188790
30.00,-0.654343,0.663765
31.00,0.686419,0.456478
32.00,1.189727,-0.245520
33.00,0.811217,0.046281
34.00,0.077215,0.747141
35.00,-0.128458,0.826586
36.00,-1.094281,0.390132
37.00,-0.161262,0.011137
38.00,-1.111168,-0.510256
39.00,-0.042824,-0.492957
40.00,-0.228015,-0.577893
41.00,-1.352466,-0.458599
42.00,-2.461640,-0.154055
43.00,0.179560,-0.667399
44.00,-0.793086,-1.580195
45.00,-0.758552,-0.920159
46.00,0.142482,-0.363040
47.00,-0.345736,-0.632574
48.00,1.288642,-0.260620
49.00,1.365671,-0.123518
50.00,1.331765,0.417422
51.00,0.661342,1.066483
52.00,-0.192116,1.138695
53.00,0.192827,0.846257
54.00,-1.071899,0.227077
55.00,-0.748351,0.038002
56.00,-1.145837,-0.388350
57.00,0.117255,-0.727552
58.00,-0.386703,-0.814618
59.00,-2.758255,-0.421734
60.00,-0.195309,-0.165903
61.00,-1.852239,-1.326884
62.00,1.795481,-1.158455
63.00,-0.064137,-0.965067
64.00,0.802747,0.036315
65.00,0.548180,0.594223
66.00,0.335620,0.376991
67.00,1.442425,0.547117
68.00,-0.097318,0.382223
69.00,-2.609720,0.767913
70.00,-1.580546,0.529127
71.00,-0.378923,-1.096269
72.00,1.958228,-1.677313
73.00,1.352892,-0.865006
74.00,-0.058733,0.621477
75.00,-0.277204,1.309345
76.00,-0.039843,0.565238
77.00,0.101064,-0.085883
78.00,-0.744225,-0.120458
79.00,2.649204,0.018642
80.00,0.341232,-0.281175
81.00,2.440856,0.847826
82.00,0.814395,1.137478
83.00,-0.427640,1.265111
84.00,0.581209,1.308122
85.00,0.339354,0.223034
86.00,1.242587,0.123262
87.00,0.452213,0.356448
88.00,-0.296623,0.681214
89.00,-1.652807,0.684723
90.00,-0.615824,0.097134
91.00,0.478643,-0.794449
92.00,0.230567,-0.907898
93.00,0.399658,-0.094629
94.00,0.987328,0.252609
95.00,0.902772,0.274219
96.00,-1.292441,0.583886
97.00,0.934153,0.783431
98.00,-0.242427,-0.162828
99.00,-0.937436,-0.059550
100.00,-1.412293,0.213606
101.00,0.963547,-0.462850
102.00,0.314646,-0.968640
103.00,-0.068673,-0.167487
104.00,0.096670,0.450749
105.00,-2.314502,0.122543
106.00,0.805986,0.027846
107.00,0.665379,-0.951731
108.00,1.927197,-0.546143
109.00,1.198242,0.509066
110.00,1.087206,1.101740
111.00,0.578329,1.280381
112.00,-0.102353,0.995717
113.00,-1.426088,0.714935
114.00,1.624724,0.224642
115.00,-0.311042,-0.620941
116.00,1.022956,0.143920
117.00,-1.019752,0.441571
118.00,-0.796909,0.373600
119.00,0.452262,-0.047759
120.00,0.872259,-0.697090
121.00,0.982673,-0.147417
122.00,-0.301985,0.512465
123.00,0.656323,0.769518
124.00,-2.052422,0.282982
125.00,-0.771351,0.201159
126.00,-1.283914,-0.629005
127.00,0.718422,-1.094432
128.00,-1.241350,-0.918522
129.00,-1.092038,-0.221749
130.00,0.250631,-0.301903
131.00,0.053079,-0.920131
132.00,-1.662143,-0.357726
133.00,-1.135083,0.075487
134.00,0.332752,-0.683629
135.00,0.652636,-1.121015
136.00,1.571344,-0.356549
137.00,0.848338,0.360328
138.00,-0.050118,0.930397
139.00,-0.394087,0.990265
140.00,0.542854,0.363120
141.00,0.001067,-0.153310
142.00,-1.173770,0.083103
143.00,-0.673043,0.192635
144.00,1.009683,-0.480735
145.00,1.361552,-0.739708
146.00,0.173991,0.127070
147.00,0.732534,0.940293
148.00,1.120031,0.628698
149.00,-1.025454,0.432116
150.00,-0.732674,0.772212
151.00,1.828628,0.023235
152.00,-1.146973,-0.663680
153.00,-0.779284,0.466102
154.00,-0.936871,0.186581
155.00,2.210932,-0.709706
156.00,0.453076,-0.735889
157.00,-1.042078,0.550061
158.00,0.634515,1.006234
159.00,1.132838,-0.193796
160.00,-0.217790,-0.106415
161.00,0.712827,0.691242
162.00,1.041514,0.361923
163.00,-0.345955,0.261373
164.00,1.707424,0.714014
165.00,-0.621184,0.277742
166.00,-1.186641,0.639002
167.00,0.948991,0.381317
168.00,1.521445,-0.682455
169.00,-0.783890,-0.068055
170.00,-0.382367,0.968120
171.00,0.077192,0.278300
172.00,-0.143502,-0.405009
173.00,0.737069,-0.138678
174.00,-0.667288,-0.049281
175.00,-0.728267,0.260341
176.00,1.928310,-0.004018
177.00,0.541422,-0.541673
178.00,0.185080,0.521494
179.00,-1.754726,0.945530
180.00,0.236852,0.357073
181.00,0.321300,-0.650048
182.00,0.288208,-0.565322
183.00,0.130120,0.164297
184.00,0.091255,0.249289
185.00,1.085057,0.178590
186.00,0.221408,0.099712
187.00,-1.594631,0.501882
188.00,-1.338489,0.515747
189.00,-0.278832,-0.555115
190.00,-0.150172,-1.171517
191.00,-0.845500,-0.692198
192.00,-0.293952,-0.228016
193.00,0.389862,-0.433640
194.00,0.279069,-0.458626
195.00,0.549236,0.021317
196.00,-1.198577,0.256647
197.00,-0.542808,0.354359
198.00,-0.498187,-0.290827
199.00,1.865064,-0.672886
200.00,-0.767920,-0.464352
201.00,1.166526,0.579466
202.00,0.237809,0.364940
203.00,0.250596,0.268146
204.00,1.742979,0.527984
205.00,0.386783,0.240476
206.00,-0.664193,0.853118
207.00,-1.276390,0.842555
208.00,-0.244826,-0.072410
209.00,0.856678,-0.780626
210.00,-0.227003,-0.619741
211.00,-0.266288,0.222520
212.00,0.185448,0.218453
213.00,-1.480201,-0.171628
214.00,0.141440,-0.028778
215.00,0.871029,-0.568901
216.00,1.138224,-0.504224
217.00,0.262241,0.371030
218.00,-1.702855,0.818307
219.00,0.017994,0.579733
220.00,0.054914,-0.581444
221.00,-0.658305,-0.634515
222.00,-1.315973,-0.029589
223.00,0.957105,-0.264485
224.00,-0.434763,-0.815456
225.00,0.359561,-0.122334
226.00,-0.721084,0.129224
227.00,1.052802,0.017662
228.00,-0.220699,-0.180168
229.00,-0.071622,0.184846
230.00,-0.326698,0.285208
231.00,-1.723434,-0.078986
232.00,0.860777,-0.170937
233.00,0.014045,-0.863806
234.00,0.560663,-0.310047
235.00,0.460860,0.274073
236.00,-1.051523,0.270941
237.00,1.423260,0.415277
238.00,0.198707,-0.250641
239.00,-0.563109,0.219091
240.00,0.306681,0.595260
241.00,-1.495798,-0.113697
242.00,0.476688,-0.075595
243.00,3.013918,-0.539029
244.00,1.120193,-0.364456
245.00,1.776045,1.415205
246.00,-1.451579,1.651572
247.00,-0.362220,1.298432
248.00,-0.717674,0.115807
249.00,0.953590,-0.645339
250.00,0.383111,-0.492421
251.00,0.131293,0.110584
252.00,-1.686851,0.501292
253.00,0.822593,0.235811
254.00,0.112677,-0.650162
255.00,1.454444,-0.288756
256.00,0.303886,0.302144
257.00,0.430256,0.685862
258.00,0.618868,0.696165
259.00,0.138187,0.351796
260.00,1.584426,0.443430
261.00,-1.331646,0.314342
262.00,-1.691711,0.751670
263.00,0.839592,0.048756
264.00,-0.711927,-1.172471
265.00,-0.806678,-0.336033
266.00,0.937379,-0.043794
267.00,1.415534,-0.591260
268.00,-0.061573,0.065322
269.00,1.601612,0.933876
270.00,1.343365,0.549935
271.00,-0.091616,0.712725
272.00,0.084195,1.191664
273.00,1.096764,0.532047
274.00,-0.578817,0.054479
275.00,0.109868,0.503317
276.00,0.701717,0.180529
277.00,0.836853,-0.132414
278.00,1.065970,0.323682
279.00,-1.601735,0.629060
280.00,-0.476154,0.800844
281.00,0.245134,-0.238413
282.00,-0.114955,-0.777730
283.00,-0.502270,-0.134082
284.00,-0.421269,0.024459
285.00,2.077141,-0.250428
286.00,0.042969,-0.376584
287.00,-0.103888,0.705877
288.00,1.952200,0.800344
289.00,-0.011499,0.046608
290.00,-0.459754,0.803921
291.00,0.063879,0.744839
292.00,0.574147,-0.130231
293.00,0.603621,-0.145197
294.00,-1.006496,0.249678
295.00,0.829809,0.479670
296.00,1.012823,-0.175563
297.00,0.251642,-0.009657
298.00,-0.618650,0.717654
299.00,1.822131,0.525056
300.00,0.469325,-0.128475
301.00,-0.602660,0.551803
302.00,2.137918,0.881922
303.00,-1.009533,-0.013401
304.00,1.293769,0.700233
305.00,0.243629,0.371258
306.00,-0.280273,0.240833
307.00,-2.049822,0.572142
308.00,0.013113,0.017503
309.00,0.822086,-0.967930
310.00,-2.263144,-0.792916
311.00,-1.170489,0.277231
312.00,-0.911330,-0.655791
313.00,-0.487787,-1.343049
314.00,-1.099295,-0.918951
315.00,-0.491489,-0.609861
316.00,0.411126,-0.695298
317.00,-0.975530,-0.652966
318.00,-1.769009,-0.058209
319.00,-1.047019,-0.278380
320.00,-0.479704,-1.116687
321.00,0.726576,-1.158173
322.00,-0.887958,-0.675786
323.00,0.053606,0.081491
324.00,1.150329,-0.121516
325.00,-0.786594,-0.295351
326.00,0.439577,0.477692
327.00,0.891877,0.105545
328.00,0.626825,-0.070488
329.00,0.397805,0.526129
330.00,-0.480821,0.622600
331.00,-1.018402,0.441418
332.00,-0.861931,-0.026289
333.00,-0.070347,-0.599819
334.00,1.145289,-0.775475
335.00,-0.294902,-0.399991
336.00,-0.852927,0.424592
337.00,0.673750,0.311909
338.00,0.850445,-0.436720
339.00,-0.617954,-0.047376
340.00,0.412100,0.591351
341.00,1.340645,0.085293
342.00,1.668402,-0.028108
343.00,-0.633114,0.710362
344.00,-0.210879,1.242284
345.00,0.915969,0.424011
346.00,-0.454886,-0.268888
347.00,-1.422970,0.292830
348.00,0.192342,0.151189
349.00,1.214550,-0.749372
350.00,1.202432,-0.476125
351.00,0.516248,0.537127
352.00,-0.771994,0.983346
353.00,0.812241,0.728112
354.00,0.933330,-0.084494
355.00,-0.554206,0.073185
356.00,0.064833,0.685311
357.00,-1.734880,0.150610
358.00,-1.824737,-0.148454
359.00,-0.227781,-0.731706
360.00,-0.185109,-1.445533
361.00,-1.006100,-0.861210
362.00,0.201607,-0.240709
363.00,0.640211,-0.514683
364.00,-0.975075,-0.309000
365.00,0.189047,0.314552
366.00,0.989419,-0.166829
367.00,-1.232950,-0.270268
368.00,0.144270,0.460043
369.00,-1.085708,-0.140837
370.00,-0.463500,-0.376099
371.00,1.142328,-0.449498
372.00,0.495253,-0.613142
373.00,0.656579,0.271153
374.00,-1.701193,0.629901
375.00,-0.463063,0.510733
376.00,-1.405093,-0.448858
377.00,0.937205,-0.827160
378.00,0.976287,-0.838933
379.00,2.539324,-0.163433
380.00,-0.111578,0.721903
381.00,-0.421274,1.487356
382.00,0.715931,0.965030
383.00,1.401804,-0.125934
384.00,0.180318,0.148308
385.00,1.024070,0.857312
386.00,0.671316,0.642668
387.00,0.400747,0.559951
388.00,-1.228679,0.689928
389.00,0.167371,0.466520
390.00,-0.474010,-0.340680
391.00,-1.481951,-0.383741
392.00,-0.362360,-0.180812
393.00,0.913369,-0.813008
394.00,1.406089,-0.740503
395.00,0.243543,0.193467
396.00,0.885574,0.934588
397.00,-0.378177,0.678545
398.00,-1.073097,0.523449
399.00,0.362651,0.192995
400.00,1.385631,-0.569118
401.00,1.483045,-0.268945
402.00,-0.079227,0.689836
403.00,-1.176600,1.177651
404.00,2.158325,0.587330
405.00,-0.269343,-0.474150
406.00,1.464703,0.469807
407.00,1.332759,0.673230
408.00,0.101796,0.594833
