t,u(t),y(t)
5.00,0.721686,0.190633
6.00,-0.043306,-0.427731
7.00,-0.167930,-0.048596
8.00,-0.275656,0.064357
9.00,0.599718,0.130587
10.00,-1.565809,-0.272525
11.00,-1.655345,0.740776
12.00,0.607808,0.632146
13.00,1.604559,-0.360310
14.00,0.246542,-0.628704
15.00,-0.117392,0.008514
16.00,1.141893,0.021199
17.00,0.873675,-0.564754
18.00,-0.518709,-0.315121
19.00,-0.701636,0.278647
20.00,-0.776360,0.246785
21.00,0.064084,0.300176
22.00,1.931019,-0.053694
23.00,-1.422564,-0.842200
24.00,0.093178,0.765518
25.00,0.508879,-0.163678
26.00,0.150936,-0.246580
27.00,0.361720,-0.012587
28.00,0.070179,-0.141362
29.00,-1.576013,-0.030813
30.00,0.334947,0.702260
31.00,-0.883948,-0.252557
32.00,0.857258,0.444600
33.00,0.885847,-0.412795
34.00,-0.578047,-0.337388
35.00,0.307738,0.314102
36.00,-0.386590,-0.206423
37.00,-0.045649,0.180734
38.00,0.111456,0.013672
39.00,-3.020823,-0.046770
40.00,0.068771,1.375027
41.00,0.784555,-0.215948
42.00,0.421364,-0.300582
43.00,-0.862458,-0.082200
44.00,-0.182559,0.404145
45.00,0.992006,-0.006301
46.00,0.708064,-0.450604
47.00,-1.235364,-0.224214
48.00,1.947150,0.597689
49.00,-0.054401,-0.992238
50.00,2.281388,0.137683
51.00,1.001035,-1.026456
52.00,-0.063802,-0.332676
53.00,-0.696099,0.051752
54.00,1.277812,0.258264
55.00,-0.542728,-0.627398
56.00,1.457927,0.343721
57.00,-0.573613,-0.690608
58.00,-0.909673,0.331944
59.00,0.790464,0.352183
60.00,-1.732208,-0.424703
61.00,0.128924,0.851409
62.00,-2.055711,-0.154347
63.00,2.317508,0.943279
64.00,-0.211835,-1.138574
65.00,0.110902,0.272874
66.00,0.372428,-0.057242
67.00,0.364244,-0.205423
68.00,-1.085245,-0.151373
69.00,0.370905,0.506911
70.00,0.875499,-0.237657
71.00,-0.306574,-0.358946
72.00,0.471564,0.206441
73.00,-1.503339,-0.248132
74.00,-0.958733,0.683648
75.00,-0.759099,0.336652
76.00,-1.026156,0.305509
77.00,1.185543,0.461296
78.00,-0.113804,-0.563553
79.00,1.104699,0.138744
80.00,-0.303057,-0.511199
81.00,-0.928649,0.176262
82.00,0.413419,0.386934
83.00,-1.551795,-0.251211
84.00,-0.212434,0.738693
85.00,-0.289696,0.012738
86.00,-0.597252,0.136504
87.00,0.711846,0.288820
88.00,-0.846111,-0.348931
89.00,-0.597014,0.428157
90.00,0.924381,0.207914
91.00,1.972332,-0.448356
92.00,-0.942288,-0.807357
93.00,0.264265,0.540131
94.00,-0.539534,-0.226626
95.00,-0.959021,0.228184
96.00,0.393749,0.417242
97.00,-0.562960,-0.222747
98.00,-0.356397,0.295878
99.00,-1.082652,0.135551
100.00,-1.066659,0.462925
101.00,1.295729,0.427312
102.00,-0.614700,-0.620948
103.00,0.501156,0.392244
104.00,1.126865,-0.268666
105.00,-0.347297,-0.498859
106.00,0.020096,0.221634
107.00,0.881479,-0.046204
108.00,-0.693747,-0.409257
109.00,1.244609,0.372071
110.00,1.841217,-0.606255
111.00,0.876906,-0.752249
112.00,0.641570,-0.288125
113.00,-0.603566,-0.286765
114.00,0.502048,0.255107
115.00,0.723677,-0.284412
116.00,-0.531547,-0.284928
117.00,-2.283817,0.286084
118.00,-0.570311,0.969393
119.00,-0.096151,0.105900
120.00,1.124901,0.060530
121.00,-0.217422,-0.455432
122.00,-0.780766,0.177494
123.00,0.204972,0.300066
124.00,-1.641466,-0.173291
125.00,1.883797,0.767521
126.00,0.665724,-0.923767
127.00,-0.258130,-0.164561
128.00,-0.914171,0.147792
129.00,1.289614,0.344197
130.00,-1.400759,-0.644987
131.00,1.683072,0.731447
132.00,0.667597,-0.836193
133.00,0.874300,-0.204035
134.00,-0.446855,-0.355465
135.00,0.262335,0.211415
136.00,0.548760,-0.170784
137.00,0.597325,-0.225087
138.00,-0.493728,-0.219069
139.00,0.393950,0.248508
140.00,2.271730,-0.226030
141.00,-2.261833,-0.999702
142.00,0.258612,1.159957
143.00,1.832781,-0.288913
144.00,0.574129,-0.815419
145.00,0.677062,-0.108389
146.00,0.702356,-0.300433
147.00,1.035588,-0.335807
148.00,0.830037,-0.446196
149.00,-0.188773,-0.313775
150.00,-1.229234,0.110606
151.00,-0.595027,0.506735
152.00,0.096696,0.183658
153.00,-0.452886,-0.053148
154.00,0.663363,0.244072
155.00,-0.916409,-0.318724
156.00,0.510244,0.456460
157.00,0.383240,-0.289036
158.00,0.428680,-0.147784
159.00,-0.406596,-0.156364
160.00,0.522195,0.199068
161.00,0.503754,-0.273991
162.00,0.246216,-0.194950
163.00,-1.079865,-0.074849
164.00,1.003190,0.484731
165.00,0.165389,-0.529415
166.00,0.379067,0.005046
167.00,0.282979,-0.152804
168.00,0.132415,-0.127836
169.00,-0.096040,-0.054147
170.00,-0.102756,0.047698
171.00,-0.793204,0.031001
172.00,0.430263,0.354384
173.00,-0.685706,-0.230768
174.00,-0.165027,0.347683
175.00,0.212839,0.039030
176.00,-0.889572,-0.102558
177.00,1.101894,0.424061
178.00,0.757863,-0.543133
179.00,-0.065200,-0.269781
180.00,2.396625,0.065517
181.00,-1.635262,-1.116485
182.00,0.485599,0.866527
183.00,0.981291,-0.347898
184.00,0.517815,-0.428304
185.00,1.057443,-0.146814
186.00,0.466568,-0.469116
187.00,0.292947,-0.181347
188.00,2.113725,-0.131441
189.00,-0.908546,-0.951806
190.00,-0.552965,0.529260
191.00,0.064734,0.161477
192.00,1.313894,-0.090499
193.00,-0.778235,-0.563942
194.00,0.545040,0.446224
195.00,0.044875,-0.325032
196.00,-0.883615,-0.009896
197.00,-2.141122,0.408829
198.00,0.465135,0.906824
199.00,0.023430,-0.337881
200.00,1.748918,0.067277
