t,u(t),y(t)
4.00,1.307010,0.083893
5.00,0.098792,0.077037
6.00,-1.776450,0.144563
7.00,-0.558655,-0.022215
8.00,1.255907,-0.236005
9.00,1.191089,-0.138361
10.00,-0.470341,0.165278
11.00,0.706350,0.256800
12.00,-1.712144,0.021201
13.00,0.244235,0.008201
14.00,-0.651081,-0.325160
15.00,0.904215,-0.010808
16.00,0.597594,-0.065069
17.00,0.497250,0.255789
18.00,1.009460,0.097377
19.00,-0.944529,0.079902
20.00,-0.220279,-0.003090
21.00,0.472227,-0.150535
22.00,-0.508125,-0.069644
23.00,-0.080118,0.052476
24.00,0.928559,0.012381
25.00,1.504767,0.016736
26.00,0.884566,0.084992
27.00,-1.163517,0.168333
28.00,-0.249840,0.103647
29.00,1.310756,-0.179579
30.00,-0.936575,-0.104816
31.00,-0.445116,0.100988
32.00,0.993215,-0.002367
33.00,-0.007471,-0.008594
34.00,0.165795,0.053550
35.00,1.528108,0.000282
36.00,0.147134,0.032071
37.00,1.811072,0.136002
38.00,-0.027021,0.021992
39.00,0.422568,0.195519
40.00,-0.334403,-0.055415
41.00,0.165098,0.037235
42.00,0.231297,-0.113093
43.00,1.458977,0.048544
44.00,0.970609,0.034879
45.00,-0.281276,0.218609
46.00,0.901839,0.109389
47.00,1.548714,-0.054301
48.00,1.186749,0.001471
49.00,0.217202,0.121071
50.00,0.218744,0.159385
51.00,-0.319380,0.042949
52.00,0.148753,-0.035953
53.00,1.065086,-0.112974
54.00,0.567794,-0.000321
55.00,1.429543,0.141357
56.00,0.365852,0.128256
57.00,-0.443110,0.176193
58.00,-0.352358,-0.017305
59.00,1.312930,-0.115481
60.00,0.588274,-0.132591
61.00,0.483636,0.150896
62.00,-0.436284,0.131804
63.00,-1.443725,0.101716
64.00,0.206237,-0.123833
65.00,-0.382895,-0.226041
66.00,2.506608,-0.030937
67.00,-1.097320,0.008914
68.00,-1.819872,0.400948
69.00,1.233676,-0.071994
70.00,0.619736,-0.222683
71.00,0.455178,-0.048742
72.00,0.698733,0.119950
73.00,-0.329993,0.175300
74.00,0.374339,0.108090
75.00,-0.899245,-0.116764
76.00,0.023768,-0.046680
77.00,-0.858743,-0.160066
78.00,-0.161718,0.045477
79.00,0.849972,-0.068912
80.00,-0.885024,0.055120
81.00,0.279581,0.069850
82.00,-1.094412,-0.067628
83.00,-2.355946,-0.015503
84.00,-1.078294,-0.160221
85.00,0.057666,-0.253151
86.00,1.243713,-0.124781
87.00,0.347535,0.070485
88.00,0.742207,0.267312
89.00,1.766263,0.109910
90.00,0.949052,0.043698
91.00,-0.560767,0.094071
92.00,-0.586436,0.059852
93.00,-0.064237,-0.084368
94.00,-1.515026,-0.117260
95.00,-1.014880,-0.046686
96.00,0.163927,-0.125470
97.00,-1.794246,-0.077423
98.00,-0.679014,0.036484
99.00,-0.535609,-0.142324
100.00,-0.325012,-0.039567
101.00,-1.244921,-0.086974
102.00,-0.044533,0.029044
103.00,-0.025144,-0.125504
104.00,-0.680509,0.012444
105.00,0.778752,-0.006368
106.00,-0.649108,-0.025789
107.00,2.473089,0.068120
108.00,1.018721,-0.062083
109.00,-0.791689,0.296837
110.00,0.148692,0.103216
111.00,-2.841644,-0.070033
112.00,-0.115476,-0.127353
113.00,-0.877096,-0.364078
114.00,0.462346,-0.002761
115.00,0.599344,-0.039902
116.00,1.091084,0.209001
117.00,0.343245,0.082714
118.00,2.551362,0.127477
119.00,-0.744408,-0.039424
120.00,0.944095,0.232267
121.00,-0.259612,-0.129034
122.00,-0.795520,0.098907
123.00,-0.300579,-0.115197
124.00,0.055894,-0.036636
125.00,-1.578427,-0.069831
126.00,-0.167583,0.058491
127.00,-1.849383,-0.163968
128.00,0.549349,-0.002476
129.00,-0.833407,-0.241892
130.00,-1.714764,0.114451
131.00,-0.990555,-0.082082
132.00,1.028449,-0.088553
133.00,1.249581,-0.166883
134.00,0.197365,0.154549
135.00,1.038647,0.189787
136.00,-1.054384,0.098792
137.00,-0.530908,0.061359
138.00,-1.123669,-0.206245
139.00,-1.077259,-0.123916
140.00,-0.746825,-0.153159
141.00,2.647888,-0.033105
142.00,1.842132,-0.041787
143.00,-1.528832,0.367514
144.00,0.106830,0.235302
145.00,-0.317866,-0.148816
146.00,0.228113,-0.183241
147.00,-0.910462,-0.140429
148.00,-1.103076,0.093738
149.00,1.769932,-0.002844
150.00,-0.251573,-0.066953
151.00,0.169107,0.145225
152.00,0.023717,-0.014930
153.00,-0.821248,0.045296
154.00,-0.369645,-0.061866
155.00,1.420781,-0.089720
156.00,-1.392983,-0.077764
157.00,-0.680023,0.195869
158.00,-1.875299,-0.108135
159.00,-1.113145,-0.049088
160.00,0.697483,-0.298651
161.00,-0.175423,-0.090567
162.00,-0.461891,0.099254
163.00,-1.183755,0.128560
164.00,0.398001,0.000439
165.00,-0.102330,-0.198654
166.00,-1.201979,-0.024542
167.00,0.022230,-0.007818
168.00,0.655071,-0.050281
169.00,0.131706,0.023392
