t,u(t),y(t)
5.00,1.417600,0.395535
6.00,0.177127,0.092494
7.00,1.138661,0.568563
8.00,-1.110948,-0.192808
9.00,0.418738,0.470691
10.00,-2.019613,-0.761537
11.00,0.025765,0.369074
12.00,-0.302873,-1.021012
13.00,-0.272477,0.377997
14.00,-0.790844,-0.085170
15.00,-1.584170,-0.063421
16.00,-0.142310,-0.320595
17.00,1.156803,-0.612504
18.00,-0.531938,0.245857
19.00,0.682131,0.637762
20.00,-1.287471,-0.457745
21.00,-0.472743,0.398015
22.00,0.347624,-0.735354
23.00,-2.452765,-0.008631
24.00,-0.415512,0.289095
25.00,-0.345045,-1.230879
26.00,-0.314809,0.238216
27.00,-0.396292,-0.016878
28.00,2.682717,-0.063261
29.00,-2.227751,-0.112848
30.00,0.643491,1.388899
31.00,-0.761987,-1.554273
32.00,-0.458797,0.642747
33.00,-1.097284,-0.438185
34.00,-0.464812,-0.092096
35.00,0.973326,-0.425088
36.00,-0.189008,-0.002745
37.00,0.097041,0.596670
38.00,-0.713753,-0.256577
39.00,0.825241,0.053996
40.00,1.128871,-0.363506
41.00,-0.401630,0.528894
42.00,1.999709,0.417661
43.00,-1.061508,-0.421691
44.00,-0.763437,1.006106
45.00,1.494824,-0.876186
46.00,0.004956,-0.229274
47.00,0.843963,0.888414
48.00,0.521208,-0.249959
49.00,-0.240333,0.365297
50.00,-0.138898,0.090818
51.00,0.840904,-0.238394
52.00,-0.394944,-0.044531
53.00,-0.665764,0.438345
54.00,-0.380636,-0.342987
55.00,1.216917,-0.275517
56.00,0.233178,-0.064850
57.00,-0.262759,0.679964
58.00,-0.445469,-0.093480
59.00,1.489125,-0.204379
60.00,0.405651,-0.177434
61.00,0.121468,0.809867
62.00,0.045377,-0.062332
63.00,0.120753,-0.055137
64.00,0.213875,-0.017923
65.00,-1.517687,0.042631
66.00,-0.165281,0.074840
67.00,0.572185,-0.789689
68.00,-0.615306,0.188730
69.00,-0.993422,0.348848
70.00,-0.946865,-0.393331
71.00,1.560196,-0.384046
72.00,-0.623955,-0.262295
73.00,1.178951,0.960728
74.00,1.612658,-0.562603
75.00,-1.849153,0.642923
76.00,1.168892,0.575812
77.00,-0.085368,-1.225129
78.00,0.151914,0.851943
79.00,0.444960,-0.208180
80.00,-1.378804,0.064701
81.00,0.233701,0.185366
82.00,1.158741,-0.753506
83.00,0.107420,0.351947
84.00,1.168442,0.559205
85.00,-0.771143,-0.161317
86.00,-0.424041,0.508813
87.00,-1.123421,-0.601198
88.00,0.992425,-0.098514
89.00,-1.080771,-0.452527
90.00,-0.534060,0.701884
91.00,-0.304444,-0.671894
92.00,0.547648,-0.079481
93.00,-1.290105,-0.019757
94.00,1.704716,0.339367
95.00,-0.118577,-0.710577
96.00,-0.034632,1.053674
97.00,-1.727624,-0.332832
98.00,1.872259,-0.036304
99.00,0.552904,-0.835412
100.00,0.809506,1.221622
101.00,0.044988,-0.025440
102.00,-1.219119,0.244034
103.00,-2.088520,-0.146518
104.00,1.412033,-0.628008
105.00,0.999505,-0.791402
106.00,-0.992688,1.103365
107.00,-0.095291,0.287884
108.00,0.291710,-0.698141
109.00,-1.054712,0.101751
110.00,0.418250,0.180341
111.00,-0.069884,-0.558302
112.00,-0.814058,0.384395
113.00,-0.650442,-0.082690
114.00,-0.371780,-0.387194
115.00,-0.354356,-0.154334
116.00,0.849461,-0.026670
117.00,0.842346,-0.075191
118.00,0.412455,0.493057
119.00,1.046835,0.258035
120.00,-0.870986,0.029107
121.00,2.269235,0.403917
122.00,-0.277783,-0.631797
123.00,0.158312,1.220947
124.00,0.597226,-0.533343
125.00,0.574016,0.065187
126.00,0.402056,0.262888
127.00,-0.271595,0.159099
128.00,-0.104808,0.070721
129.00,0.942050,-0.229595
130.00,-0.230842,-0.015105
131.00,0.327586,0.481584
132.00,1.032301,-0.275951
133.00,-0.051193,0.172120
134.00,-0.342775,0.435581
135.00,0.499383,-0.226892
136.00,-0.231349,-0.188067
137.00,-0.268512,0.300552
138.00,0.471345,-0.199646
139.00,-0.729191,-0.104478
140.00,0.113623,0.279938
141.00,-0.301800,-0.436274
142.00,0.594321,0.170510
143.00,-0.177949,-0.150757
144.00,-0.163019,0.341559
145.00,-0.806814,-0.184729
146.00,1.002666,-0.060801
147.00,-1.097159,-0.359091
148.00,-0.858045,0.645638
149.00,1.622093,-0.683520
150.00,-2.891144,-0.243905
151.00,0.103007,0.969705
152.00,-1.015648,-1.662294
153.00,-1.005505,0.538309
154.00,0.792745,-0.426653
155.00,-1.160243,-0.290837
156.00,-0.803092,0.603991
157.00,-0.929858,-0.673738
158.00,2.788031,-0.194090
159.00,-1.479674,-0.271579
160.00,0.548901,1.553134
161.00,0.747670,-1.195774
162.00,0.111441,0.461908
163.00,0.357940,0.299393
164.00,0.272953,-0.086088
165.00,-1.111564,0.133408
166.00,0.447617,0.054273
167.00,-0.131526,-0.605407
168.00,-0.461477,0.409288
169.00,0.481042,-0.115457
170.00,-0.902716,-0.209487
171.00,0.029894,0.323727
172.00,-0.872121,-0.509810
173.00,0.443435,0.163774
174.00,0.724272,-0.405780
175.00,1.952796,0.380916
176.00,0.479280,0.299121
177.00,-0.683520,0.808420
178.00,-0.138371,-0.144431
179.00,0.521828,-0.477709
180.00,-1.185994,0.036083
181.00,-0.540876,0.295374
182.00,-0.975128,-0.669326
183.00,0.348418,-0.059577
184.00,-1.446329,-0.337649
185.00,-1.167643,0.371647
186.00,-0.193018,-0.737045
187.00,0.335547,-0.306585
188.00,0.661308,0.166978
189.00,-0.540779,0.247809
190.00,-0.891405,0.272822
191.00,0.460768,-0.389943
192.00,-1.705820,-0.350898
193.00,0.804174,0.399176
194.00,-1.213882,-0.884491
195.00,-0.513071,0.692195
196.00,-1.184976,-0.688428
197.00,0.592214,-0.043836
198.00,1.433328,-0.443578
199.00,1.051573,0.521710
200.00,-0.726857,0.625896
201.00,-1.091313,0.234187
202.00,1.395071,-0.591761
203.00,-0.823867,-0.432283
204.00,0.498097,0.889647
205.00,1.004677,-0.618195
206.00,0.807283,0.360667
207.00,0.566231,0.410474
208.00,-1.242566,0.194094
209.00,-0.519157,0.100876
210.00,-1.146584,-0.731419
211.00,-1.515095,-0.042077
212.00,0.610348,-0.430755
213.00,-0.362864,-0.506902
214.00,1.206730,0.608336
215.00,0.366704,-0.233529
216.00,0.959278,0.641907
217.00,0.808548,-0.031303
218.00,-1.015950,0.368276
219.00,0.761727,0.200196
220.00,0.683383,-0.672204
221.00,-0.374911,0.524332
222.00,-0.928320,0.222264
223.00,-0.160995,-0.322222
224.00,-0.970343,-0.411378
225.00,0.898096,0.096863
226.00,0.829448,-0.408353
227.00,1.663243,0.624088
228.00,0.131153,0.264796
229.00,0.080818,0.631325
230.00,0.683629,-0.272012
231.00,2.427503,-0.036876
232.00,0.570921,0.307349
233.00,0.497327,1.047480
